ID,RGB,Description
0,"0,0,0","Glass, Powered Rail, Detector Rail, Torch, Redstone Wire, Ladders, Rails, Lever, Redstone Torch, Buttons, Tripwire Hook, Nether Portal (block), Cake, Redstone Repeater, Redstone Comparator, Glass Pane, Flower Pot, Redstone Lamp, Barrier, Mob heads, End Rod, Structure Void, Shulker Boxes (all colors), Air, unexplored areas"
1,"127, 178, 56","Grass Block, Slime Block"
2,"247, 233, 163","Sand, Sandstone, Sandstone Stairs, Sandstone Slab, Chiseled Sandstone, Smooth Sandstone, Glowstone, End Stone, Birch Wood, Birch Wood Planks, Birch Fence, Birch Fence Gate, Birch Wood Stairs, Birch Wood Slab, Stem and all-sided-inside-textured huge mushroom blocks, Bone Block, End Stone Bricks"
3,"199, 199, 199","Bed, Cobweb, All-sided-stem huge mushroom blocks"
4,"255, 0, 0","Lava, TNT, Fire, Block of Redstone"
5,"160, 160, 255","Ice, Frosted Ice, Packed Ice"
6,"167, 167, 167","Block of Iron, Iron Door, Iron Trapdoor, Iron Bars, Brewing Stand, Anvil, Weighted Pressure Plate (Heavy)"
7,"0, 124, 0","Saplings, Leaves, Tall Grass, Dead Bush, Flowers, Mushrooms, Seeds, Cactus, Sugar Cane, Pumpkin Stem, Melon Stem, Vines, Lily Pad"
8,"255, 255, 255","Wool (White), Carpet (White), White Stained Clay, Snow, Snow block"
9,"164, 168, 184","Clay Block, Monster Eggs"
10,"151, 109, 77","Dirt, Granite, Polished Granite, Farmland, Red Sand, Red Sandstone, Red Sandstone Stairs, Red Sandstone Slab, Chiseled Red Sandstone, Smooth Red Sandstone, Jungle Wood, Jungle Wood Planks, Jungle Fence, Jungle Fence Gate, Jungle Wood Stairs, Jungle Wood Slab"
11,"112, 112, 112","Stone, Stone Slab, Cobblestone, Cobblestone Stairs, Cobblestone Slab, Cobblestone Wall, Moss Stone, Mossy Cobblestone Wall, Andesite, Polished Andesite, Bedrock, Gold Ore, Iron Ore, Coal Ore, Lapis Lazuli Ore, Dispenser, Dropper, Sticky Piston, Piston, Piston Head, Block moved by Piston, Monster Spawner, Diamond Ore, Furnace, Cobblestone Stairs, Stone Pressure Plate, Redstone Ore, Stone Bricks, Stone Brick Stairs, Stone Bricks Slab, Mossy Stone Bricks, Cracked Stone Bricks, Chiseled Stone Bricks, Ender Chest, Hopper, Gravel, Observer"
12,"64, 64, 255",Water
13,"143, 119, 72","Oak Wood, Oak Wood Planks, Oak Fence, Oak Fence Gate, Oak Wood Stairs, Oak Wood Slab, Note Block, Bookshelf, Chest, Trapped Chest, Crafting Table, Wooden Doors, Sign, Wooden Pressure Plate, Jukebox, Wooden Trapdoor, Huge Brown Mushroom, Banners, Daylight Sensor"
14,"255, 252, 245","Block of Quartz, Quartz Slab, Quartz Stairs, Chiseled Quartz Block, Pillar Quartz Block, Diorite, Polished Diorite, Sea Lantern"
15,"216, 127, 51","Orange Wool, Orange Carpet, Orange Stained Clay, Pumpkin, Jack-O-Lantern, Hardened Clay, Acacia Wood, Acacia Wood Planks, Acacia Fence, Acacia Fence Gate, Acacia Wood Stairs, Acacia Wood Slab"
16,"178, 76, 216","Magenta Wool, Magenta Carpet, Magenta Stained Clay, Purpur Blocks"
17,"102, 153, 216","Light Blue Wool, Light Blue Carpet, Light Blue Stained Clay"
18,"229, 229, 51","Yellow Wool, Yellow Carpet, Yellow Stained Clay, Hay Bale, Sponge, Wet Sponge"
19,"127, 204, 25","Lime Wool, Lime Carpet, Lime Stained Clay, Melon"
20,"242, 127, 165","Pink Wool, Pink Carpet, Pink Stained Clay"
21,"76, 76, 76","Gray Wool, Gray Carpet, Gray Stained Clay, Cauldron"
22,"153, 153, 153","Light Gray Wool, Light Gray Carpet, Light Gray Stained Clay, Structure Block"
23,"76, 127, 153","Cyan Wool, Cyan Carpet, Cyan Stained Clay, Prismarine"
24,"127, 63, 178","Purple Wool, Purple Carpet, Purple Stained Clay, Mycelium, Command Block (repeating), Chorus Plant, Chorus Flower"
25,"51, 76, 178","Blue Wool, Blue Carpet, Blue Stained Clay"
26,"102, 76, 51","Brown Wool, Brown Carpet, Brown Stained Clay, Soul Sand, Dark Oak Wood, Dark Oak Wood Planks, Dark Oak Fence, Dark Oak Fence Gate, Dark Oak Wood Stairs, Dark Oak Wood Slab, Command Block (impulse)"
27,"102, 127, 51","Green Wool, Green Carpet, Green Stained Clay, End Portal Frame, Command Block (chain)"
28,"153, 51, 51","Red Wool, Red Carpet, Red Stained Clay, Huge Red Mushroom, Bricks, Brick Stairs, Bricks Slab, Enchanting Table, Nether Wart, Nether Wart Block"
29,"25, 25, 25","Black Wool, Black Carpet, Black Stained Clay, Dragon Egg, Block of Coal, Obsidian, End Portal (block)"
30,"250, 238, 77","Block of Gold, Weighted Pressure Plate (Light)"
31,"92, 219, 213","Block of Diamond, Prismarine Bricks, Dark Prismarine, Beacon"
32,"74, 128, 255",Lapis Lazuli Block
33,"0, 217, 58",Block of Emerald
34,"129, 86, 49","Podzol, Spruce Wood, Spruce Wood Planks, Spruce Fence, Spruce Fence Gate, Spruce Wood Stairs, Spruce Wood Slab"
35,"112, 2, 0","Netherrack, Nether Quartz Ore, Nether Brick, Nether Brick Fence, Nether Brick Stairs, Red Nether Brick, Magma Block"
